id,name,email,date,score,amount,category
9362,  Quinn Taylor  ,..quinn.taylor..@mail.com,2022/02/19,63,$491.97,retail
9363,jordan johnson,jordan.johnson@mail.com,2022/01/10,,$515.13, wholesale 
9364,Chris Wilson,chris.wilson@sample.org,02/08/2021,47,384.03,e-comm
9365,Chris Jones,chris.jones@example.com,2022/03/01,,$670.46,E-Commerce
9366,taylor jones,taylor.jones@test.net,2021/01/30,1480,"$1,355.61", E-Commerce 
9367,SAM BROWN,SAM.BROWN@EXAMPLE.COM,2022-01-28,1, 364 ,Wholesale
9368,Robin Taylor,robin.taylor@sample.org,2021/04/21,1333,"$1,076.86",retail
9369,,drew.johnsonexample.com,2022/01/14,19,763.96,Wholesale
9370,Lee Smith,lee.smith@sample.org,08/05/2023,60,1704.61,Retail
9371,Drew Jones, drew.jones@sample.org ,21/11/2020,abc,$594.86,retail
9372,Drew Jones,DREW.JONES@EXAMPLE.COM,2021/06/30,52,"$1,383.30", e-comm 
9373,  Riley Taylor  , ..RILEY.TAYLOR..@MAIL.COM ,2021/05/11,28,1038.03, retail 
9374,JORDAN GARCIA,jordan.garcia@test.net,2023-08-26,75,$105.10, Wholesale 
9375,Alex Davis,alex.davis@sample.org,2023-10-30,32,"$1,345.55",Wholesale
9376,Drew Jones,,2022/04/26,86, 1476 , E-Commerce 
9377,  Chris Taylor  ,  chris taylor  @sample org,2024/06/01,88,$209.21,ONLINE
9378,jordan williams,jordan.williams@test.net,2021-03-11,94,"$1,747.29",ONLINE
9379,  Casey Wilson  ,..casey.wilson..@mail.com,2021-07-12,12,"$1,758.03",Wholesale
9380,TAYLOR MARTINEZ,taylor.martinez@mail.com,23/02/2021,80,"$1,880.99", Retail 
9381,Jamie Rodriguez,jamie.rodriguezsample.org,08/01/2020,47,"$1,221.04",retail
9382,Casey Davis, casey.davis@sample.org ,16/11/2024,66,"$1,945.55", Retail 
9383,  Jamie Anderson  , ..jamie.anderson..@test.net ,2021/11/14,41,902.67, E-Commerce 
9384,  Jordan Williams  ,..jordan.williams..@sample.org,2022-12-23,96, 127 ,e-comm
9385,  Robin Taylor  ,..robin.taylor..@sample.org,06/01/2023,74,941.34,wholesale
9386,Sam Martinez,sam.martinez@sample.org,08/08/2024,19,1483.43,Retail
9387,  LEE ANDERSON  ,  LEE ANDERSON  @EXAMPLE COM,09-18-2022,96,1701.93,e-comm
9388,casey jones,casey.jones@example.com,2021-01-24,70,$42.47,Retail
9389,Jordan Anderson,jordan.anderson@example.com,2024-01-05,97,"$1,174.19", retail 
9390,Robin Miller,robin miller@test net,,90,"$1,080.46",Retail
9391,Jordan Davis, jordan.davis@sample.org ,10-24-2021,53,$379.05,Retail
9392,jordan williams,jordan.williams@mail.com,14/09/2021,23,1974.71,E-Commerce
9393,Drew Garcia,drew.garcia@sample.org,2020-05-19,26,"$1,491.32",Wholesale
9394,avery rodriguez,avery.rodriguez@mail.com,06-20-2021,20,$741.56,e-comm
9395,Robin Smith,robin.smith@sample.org,12-18-2024,71, 453 , retail 
9396,MORGAN TAYLOR, morgan.taylor@mail.com ,29/07/2021,69,1241.44, wholesale 
9397,  Sam Garcia  , ..sam.garcia..@mail.com ,2022-03-30,84,342.8,wholesale
9398,Drew Anderson,drew.anderson@mail.com,11-03-2023,41,$370.54, Retail 
9399,Taylor Johnson,taylor.johnson@sample.org,2023-11-16,94,"$1,248.00",e-comm
9400,Jamie Garcia,jamie.garcia@sample.org,2023-10-19,3, 1729 ,Wholesale
9401,robin williams,robin.williams@mail.com,30/11/2020,null,"$1,636.24",e-comm
9402,Lee Williams,lee.williamstest.net,08-24-2020,87,$428.16,retail
9403,  Lee Williams  ,..LEE.WILLIAMS..@TEST.NET,2022/06/11,96,"$1,727.68",wholesale
9404,  taylor brown  ,..taylor.brown..@test.net,,1886,"$1,287.51",E-Commerce
9405,Jamie Garcia, jamie.garcia@test.net ,21/04/2022,100,$939.86,e-comm
9406,parker rodriguez,PARKER.RODRIGUEZ@TEST.NET,24/05/2024,83,$91.74,E-Commerce
9407,ALEX JOHNSON,alex.johnson@sample.org,2020-10-03,4891,$380.00,wholesale
9408,Alex Taylor,alex.taylor@example.com,10-16-2023,88,$170.68,E-Commerce
9409,JAMIE BROWN,jamie.brown@test.net,2020/05/04,11,$169.70,retail
9410,RILEY TAYLOR,riley.taylor@sample.org,2023-12-25,,"$1,127.75", wholesale 
9411,Chris Taylor,chris.taylor@test.net,2024-10-21,71,721.26,Retail
9412,lee miller,lee.miller@test.net,07-03-2022,85,"$1,719.12", Retail 
9413,  Casey Davis  ,..casey.davis..@example.com,2022-07-31,4242, 1180 ,Wholesale
9414,JORDAN JOHNSON,jordan.johnson@sample.org,10-08-2021,49,$478.22,ONLINE
9415,avery williams,avery.williams@example.com,,85,1882.72,Retail
9416,  Sam Williams  ,..sam.williams..example.com,05-17-2023,100,$925.79,Retail
9417,Casey Garcia, casey.garcia@test.net ,2022/03/13,999,$610.63,e-comm
9418,casey brown, casey.brownmail.com ,2022/09/11,4358,$602.31, wholesale 
9419,sam williams,sam.williams@example.com,2021/11/19,19,884.95,retail
9420,  lee garcia  ,..lee.garcia..@mail.com,2022-07-28,48,1429.62,retail
9421,Chris Garcia,chris.garcia@example.com,2022/07/11,11,"$1,453.47",retail
9422,Robin Wilson, robin.wilson@sample.org ,2022/06/08,72,$942.08,wholesale
9423,alex williams, alex.williams@sample.org ,,,$637.40,ONLINE
9424,Lee Smith,lee.smith@mail.com,2023/08/01,63,$163.68,Wholesale
9425,  Casey Rodriguez  ,..casey.rodriguez..@mail.com,21/09/2023,83,"$1,108.58",Wholesale
9426,Quinn Miller, quinn.miller@sample.org ,05-21-2022,5, 1536 , Retail 
9427,  Robin Williams  ,  robin williams  @sample org,10-03-2023,60,"$1,749.06", Wholesale 
9428,,casey.martinez@example.com,2021/03/17,55,$697.73,Retail
9429,alex martinez,alex.martinez@example.com,02-23-2022,1, 1988 ,Wholesale
9430,Sam Garcia,sam garcia@test net,2020-11-20,59,1524.0,Retail
9431,  robin garcia  , ..robin.garcia..@mail.com ,2023-02-10,,"$1,980.02",retail
9432,Morgan Davis,morgan.davis@test.net,01-26-2024,85,"$1,058.56",wholesale
9432,Morgan Davis,morgan.davis@test.net,01-26-2024,85,"$1,058.56",wholesale
9433,morgan johnson,MORGAN.JOHNSON@MAIL.COM,06-24-2022,35,$602.81, ONLINE 
9434,avery garcia,avery.garcia@mail.com,2024-11-27,99,"$1,314.97",ONLINE
9435,Casey Garcia,casey.garcia@mail.com,03-03-2024,83,"$1,973.49",Wholesale
9436,DREW ANDERSON,drew anderson@example com,2021/12/24,,"$1,200.35",E-Commerce
9437,Drew Smith,drew.smith@test.net,03/06/2024,84,345.64,ONLINE
9438,robin garcia,robin.garcia@sample.org,03-28-2024,42,"$1,297.72", retail 
9439,Drew Taylor,drew taylor@mail com,2023/12/10,4102,$36.15, wholesale 
9440,Parker Garcia,parker.garcia@mail.com,02-15-2024,3287,1205.11,retail
9441,Casey Davis,CASEY.DAVIS@EXAMPLE.COM,,17,"$1,502.05",wholesale
9442,Taylor Brown,taylor.brown@sample.org,06-03-2024,,666.26,e-comm
9443,QUINN JONES,,29/02/2020,68, 1298 ,wholesale
9444,Alex Johnson,ALEX.JOHNSON@MAIL.COM,06-14-2020,66,151.06,ONLINE
9445,  Parker Brown  , ..parker.brown..@example.com ,09-20-2024,null, 935 , Wholesale 
9446,PARKER JONES,parker.jones@test.net,2023/02/18,88,1065.11,retail
9447,JAMIE ANDERSON, jamie.anderson@sample.org ,01/12/2023,94,"$1,558.55", ONLINE 
9448,Casey Rodriguez,casey.rodriguez@sample.org,09-22-2021,37,"$1,137.59",E-Commerce
9449,Avery Taylor, avery.taylor@sample.org ,2024/09/09,35, 1150 ,ONLINE
9450,Jordan Smith,jordan.smith@sample.org,05/08/2020,47,"$1,360.86",Retail
9451,Robin Taylor, robin.taylor@example.com ,2024/05/03,1905,860.58,ONLINE
9452,Robin Jones,robin.jones@example.com,05-02-2021,52,"$1,910.50",E-Commerce
9453,alex wilson,alex.wilson@test.net,,6,693.72,ONLINE
9454,jamie johnson,jamie.johnson@example.com,04-15-2022,19,$269.47, ONLINE 
9455,  Riley Smith  ,..riley.smith..@mail.com,02-22-2024,34,"$1,157.76",wholesale
9456,riley smith,riley.smith@mail.com,28/06/2021,1,1619.02,Retail
9457,  avery miller  ,..avery.miller..@mail.com,2020-10-13,3057,500.11,retail
9458,TAYLOR GARCIA, taylor.garcia@example.com ,11-15-2020,55, 459 ,e-comm
9459,Quinn Miller,quinn.miller@test.net,2023-10-07,42,1105.81,Wholesale
9460,Chris Rodriguez, chris.rodriguezexample.com ,2023-11-17,,1133.6,E-Commerce
9461,robin taylor,ROBIN.TAYLOR@SAMPLE.ORG,2020/10/21,82, 611 ,Wholesale
9462,  JAMIE WILSON  ,..jamie.wilson..@sample.org,07-18-2023,35,"$1,190.59",Wholesale
9463,Sam Jones,sam.jones@sample.org,30/12/2021,4281,466.94,e-comm
9464,  Drew Garcia  ,..drew.garcia..@sample.org,2021-10-16,NA,361.21,ONLINE
9465,Avery Anderson,avery.anderson@test.net,2023-01-16,18, 1196 , Retail 
9466,robin williams, ROBIN.WILLIAMS@EXAMPLE.COM ,2022/01/26,23,117.36, Retail 
9467,Alex Taylor,alex.taylor@test.net,2022-11-02,12,1789.75,Wholesale
9468,MORGAN GARCIA, morgan.garcia@mail.com ,24/02/2021,73,765.63, retail 
9469,Parker Williams,parker.williams@example.com,03-09-2020,abc,$509.89,E-Commerce
9470,RILEY MILLER,riley miller@test net,11-27-2024,abc,1401.77,ONLINE
9471,  RILEY JONES  , ..riley.jones..@test.net ,2023-02-16,55,"$1,735.73", Wholesale 
9472,AVERY BROWN,AVERY.BROWN@TEST.NET,01-06-2023,42, 1503 , retail 
9473,,TAYLOR.WILLIAMS@TEST.NET,09-05-2020,11,"$1,754.85", Wholesale 
9474,  quinn anderson  ,..quinn.anderson..@mail.com,2021/09/12,91,383.4, wholesale 
9475,  Taylor Johnson  ,,12-07-2021,64,$778.96,Wholesale
9476,MORGAN SMITH,,2022-01-02,33,$767.67,ONLINE
9477,Riley Brown,RILEY.BROWN@EXAMPLE.COM,14/03/2020,,560.55,Retail
9478,MORGAN MILLER,MORGAN.MILLER@TEST.NET,01-20-2021,1522,199.5, ONLINE 
9479,Robin Anderson,ROBIN.ANDERSONTEST.NET,20/10/2024,47,"$1,900.61",E-Commerce
9480,Sam Johnson,sam.johnson@example.com,2021/01/17,1,"$1,845.48", retail 
9481,Avery Taylor, avery.taylor@example.com ,2023/08/05,87,"$1,655.60",ONLINE
9482,MORGAN WILSON,morgan.wilson@test.net,2023-10-23,68,531.48, retail 
9483,Drew Jones, DREW.JONES@SAMPLE.ORG ,2021/02/15,92,"$1,848.75", wholesale 
9484,taylor rodriguez,taylor.rodriguez@sample.org,22/06/2020,635,725.61,retail
9485,  Robin Brown  ,..robin.brown..@mail.com,2024-12-20,71,$162.34,retail
9486,,quinn.miller@mail.com,01-07-2021,58,888.66,retail
9487,Riley Miller,RILEY.MILLER@MAIL.COM,2022/05/11,12,"$1,387.73",ONLINE
9488,quinn brown,quinn.brown@test.net,03-22-2022,19,$818.91,Wholesale
9489,SAM BROWN,SAM.BROWN@MAIL.COM,13/11/2023,20,$26.14, Retail 
9490,  Sam Rodriguez  ,..sam.rodriguez..@sample.org,2023-04-05,48,"$1,644.73",e-comm
9491,  Drew Brown  ,..drew.brown..@mail.com,2021-11-28,,1624.27,e-comm
9492,jamie jones,jamie.jones@sample.org,05/02/2024,49,"$1,100.71",e-comm
9493,Riley Garcia,riley.garcia@test.net,21/01/2020,29, 1342 ,E-Commerce
9494,Avery Anderson,avery.anderson@test.net,2023-05-19,84,"$1,848.27",Wholesale
9495,Morgan Davis, MORGAN.DAVIS@SAMPLE.ORG ,20/06/2024,4853,"$1,037.40", retail 
9496,jordan garcia,jordan.garcia@mail.com,2023/01/25,21,1099.52,Wholesale
9497,alex garcia, alex.garcia@test.net ,2020-01-29,53,$377.55,retail
9498,drew smith,DREW.SMITH@TEST.NET,2023/11/30,431,"$1,428.60",Wholesale
9499,Jamie Rodriguez,jamie.rodriguez@sample.org,05-10-2022,67,229.32,E-Commerce
9500,AVERY TAYLOR,avery.taylor@mail.com,2021/08/05,2,547.01, Retail 
9501,RILEY TAYLOR,riley.taylor@example.com,02-24-2023,77,$128.00, wholesale 
9502,  Quinn Jones  ,..quinn.jones..@test.net,12-06-2022,98,1965.57,retail
9503,QUINN DAVIS,quinn.davis@test.net,09-26-2021,26,136.77, Wholesale 
9504,alex rodriguez,alex rodriguez@test net,12/09/2022,80, 1296 , E-Commerce 
9505,casey garcia, casey.garcia@test.net ,05-05-2024,1,$451.74, Wholesale 
9506,  Riley Davis  ,..riley.davis..@sample.org,07/11/2022,40,$481.95,Retail
9507,Jamie Jones,JAMIE JONES@MAIL COM,02-29-2024,36,1963.46, Wholesale 
9508,CASEY BROWN,CASEY.BROWN@TEST.NET,2022-04-06,51,"$1,499.96",wholesale
9509,  Robin Davis  ,..robin.davis..@test.net,13/09/2022,90,"$1,348.93",Wholesale
9510,alex smith,ALEX.SMITH@EXAMPLE.COM,2022/05/20,34,"$1,554.75",wholesale
9511,jamie davis,JAMIE.DAVIS@SAMPLE.ORG,12/04/2021,61,1796.66, E-Commerce 
9512,Sam Jones,,2021/11/18,1025,844.08,wholesale
9513,DREW ANDERSON,drew.anderson@example.com,2020-03-21,NA,$763.18, Wholesale 
9514,  Casey Taylor  ,..casey.taylor..@test.net,2020-02-29,83,"$1,173.17",ONLINE
9515,Quinn Brown,,2024/03/06,44,$244.89,ONLINE
9516,  Lee Rodriguez  ,..lee.rodriguez..test.net,08-21-2021,87,277.28,Retail
9517,taylor brown,taylor.brown@sample.org,2022-06-25,87,"$1,888.46",wholesale
9518,Parker Miller,parker miller@test net,22/05/2021,4981,1524.68, E-Commerce 
9519,CHRIS GARCIA,chris.garcia@test.net,09-03-2020,,243.04, wholesale 
9520,QUINN JONES,quinn.jones@test.net,01-21-2024,71,1868.89,Retail
9521,  jamie davis  ,..jamie.davis..@example.com,05-28-2023,4609,510.36,e-comm
9522,  Casey Martinez  ,  casey martinez  @test net,2022/06/15,21,1173.24,wholesale
9523,Taylor Davis,taylor.davis@example.com,2024-13-15,87,471.0, wholesale 
9524,Sam Wilson,sam.wilson@sample.org,2024/11/06,,$410.96,wholesale
9525,  Alex Wilson  ,..alex.wilson..@mail.com,2024/08/19,79,1134.17,Retail
9526,Quinn Jones, quinn.jones@example.com ,12-07-2023,0,520.93,e-comm
9527,Alex Smith,ALEX.SMITH@MAIL.COM,11/10/2023,52,1804.6, Wholesale 
9528,Alex Wilson,ALEX.WILSON@TEST.NET,17/06/2024,2, 695 ,ONLINE
9529,  Jordan Martinez  ,..jordan.martinez..@sample.org,06/07/2020,,1757.02,ONLINE
9530,Casey Jones,casey.jones@test.net,2021-05-26,4430, 85 ,Wholesale
9531,  Drew Davis  , ..drew.davis..@example.com ,2023/02/16,708,"$1,771.89", ONLINE 
9532,QUINN ANDERSON, quinn.anderson@example.com ,2022/10/22,NA,$750.63,ONLINE
9533,ROBIN JONES,ROBIN.JONES@EXAMPLE.COM,21/02/2023,56,$176.89,Retail
9534,Taylor Brown,taylor brown@test net,10/10/2021,46,1566.88,Wholesale
9535,quinn martinez,quinn.martinez@example.com,24/03/2021,45,$148.62, Retail 
9536,Robin Davis,ROBIN.DAVIS@MAIL.COM,2020-05-05,2,243.76,Retail
9537,chris taylor,chris.taylor@example.com,2020-02-16,33,1762.71,E-Commerce
9538,Robin Johnson,robin.johnson@mail.com,2022-03-06,56,861.9,ONLINE
9539,robin jones,ROBIN.JONES@MAIL.COM,2021-08-04,3,1249.87,retail
9540,Jordan Garcia,JORDAN.GARCIA@EXAMPLE.COM,01/07/2021,35,1475.12,Wholesale
9541,  Quinn Davis  ,..quinn.davis..@mail.com,17/04/2022,62,"$1,545.93", retail 
9542,  Quinn Johnson  , ..QUINN.JOHNSON..SAMPLE.ORG ,28/09/2021,6, 667 ,Retail
9543,  jordan brown  ,..JORDAN.BROWN..@SAMPLE.ORG,2020/11/21,49,790.93,wholesale
9544,lee martinez,lee.martinez@sample.org,11/08/2021,87,$905.32, Retail 
9545,  lee anderson  ,  lee anderson  @sample org,06-01-2020,71,"$1,272.03",e-comm
9546,MORGAN TAYLOR,morgan.taylor@example.com,06/04/2020,41,1458.24,retail
9547,CHRIS BROWN,chris.brown@test.net,2024-12-15,69,896.56,wholesale
9548,Jamie Miller,JAMIE.MILLER@SAMPLE.ORG,2021-04-06,4818, 464 ,ONLINE
9549,Avery Rodriguez,avery.rodriguez@example.com,08/01/2024,96,"$1,031.87",ONLINE
9550,  Morgan Martinez  ,..morgan.martinez..@mail.com,2021-05-18,3905,"$1,745.70",e-comm
9551,Drew Martinez,DREW.MARTINEZ@SAMPLE.ORG,2023-02-09,2,"$1,521.33",wholesale
9552,Casey Anderson,casey.anderson@test.net,2020-10-14,4038, 657 ,wholesale
9553,JAMIE DAVIS,jamie.davis@test.net,04-10-2024,55,711.35,wholesale
9554,ALEX JONES,ALEX.JONES@EXAMPLE.COM,04-27-2022,87,"$1,893.44",e-comm
9555,Chris Martinez,chris.martinez@mail.com,24/08/2023,57,$18.87,ONLINE
9556,taylor johnson, taylor.johnson@mail.com ,2022/06/08,null,"$1,518.04", wholesale 
9557,Parker Rodriguez,,2023/04/07,25,1593.54, Wholesale 
9558,Quinn Taylor,quinn.taylor@sample.org,02-19-2020,44,$422.58,Retail
9559,Lee Martinez,lee.martinez@sample.org,2023-11-06,40,209.99,wholesale
9560,MORGAN JONES,morgan.jones@mail.com,2021/07/17,NA,265.76,Wholesale
9561,Parker Martinez,parker.martinez@sample.org,2024-02-02,72,131.48,Retail
9562,  JORDAN WILSON  ,  jordan wilson  @sample org,2021/02/28,27,$158.23,Retail
9563,  Jordan Miller  ,..jordan.miller..@example.com,2020-11-11,24,1115.61, e-comm 
9564,CASEY GARCIA,casey.garcia@test.net,07-19-2021,100,$919.00,Wholesale
9565,ROBIN JOHNSON,ROBIN.JOHNSON@EXAMPLE.COM,2023/12/14,99,$966.71,ONLINE
9566,parker anderson,parker.anderson@sample.org,2024/05/18,78,314.36,E-Commerce
9567,Jamie Johnson,jamie.johnson@test.net,04-08-2024,74,1148.67,e-comm
9568,  Casey Smith  ,..CASEY.SMITH..@TEST.NET,2021-10-22,18, 1806 ,ONLINE
9569,  Riley Martinez  ,..riley.martinez..test.net,22/07/2022,65,$796.54,ONLINE
9570,Riley Johnson,riley.johnsontest.net,04-28-2020,72,1661.82,e-comm
9571,sam taylor,SAM.TAYLOR@EXAMPLE.COM,15/01/2023,4444,"$1,563.52",wholesale
9572,Jamie Smith, jamie.smith@sample.org ,2023-04-03,74,$294.13,retail
9573,  MORGAN ANDERSON  ,..morgan.anderson..@test.net,2022/08/05,18,$723.47,retail
9574,ROBIN WILSON,robin wilson@example com,30/06/2023,67,1493.7,e-comm
9575,  Sam Miller  ,..sam.miller..@example.com,2023/01/28,abc,$155.64,e-comm
9576,  Jamie Brown  ,..jamie.brown..@example.com,15/08/2023,4214, 601 ,Retail
9577,MORGAN WILLIAMS,morgan.williams@sample.org,05-01-2023,20,1465.84, Wholesale 
9578,taylor williams,taylor.williams@sample.org,03-12-2024,34,"$1,912.91", retail 
9579,  riley jones  ,..riley.jones..@test.net,13/06/2023,509,$353.46,e-comm
9580,Lee Garcia,lee.garcia@test.net,2024-01-22,4996, 1887 ,E-Commerce
9581,Alex Johnson, alex.johnsonexample.com ,18/08/2021,39,$449.20,retail
9582,  Drew Martinez  ,..drew.martinez..@sample.org,21/11/2020,4310,251.38,E-Commerce
9583,MORGAN BROWN,morgan.brown@sample.org,2023-03-04,43,"$1,719.92", E-Commerce 
9584,PARKER MILLER,parker.miller@example.com,16/04/2024,60,476.79,retail
9585,Parker Johnson,parker.johnson@mail.com,05/07/2022,13,$142.31,wholesale
9586,  CASEY JONES  ,..casey.jones..@sample.org,24/12/2022,61,"$1,803.34",Wholesale
9587,Sam Miller, sam.miller@mail.com ,2021/05/30,78,$450.65,wholesale
9588,taylor brown,taylor.brown@mail.com,2023-07-25,23,1153.24,ONLINE
9589,TAYLOR DAVIS,taylor davis@test net,22/03/2020,15,1604.11, Wholesale 
9590,  jamie johnson  ,..jamie.johnson..@mail.com,03-27-2021,17, 681 ,wholesale
9591,quinn brown,,20/08/2021,95,"$1,404.60",E-Commerce
9592,Casey Wilson,casey.wilson@example.com,2024-13-15,96,$541.35,wholesale
9593,,casey.brown@example.com,2023-12-30,26,"$1,775.59",wholesale
9594,  Morgan Martinez  ,..morgan.martinez..@test.net,2021/07/25,56,1323.72,wholesale
9595,RILEY WILLIAMS,riley.williams@mail.com,25/07/2020,85, 58 ,retail
9596,Taylor Garcia,taylor.garcia@mail.com,18/03/2023,93,$389.48,Retail
9597,  ROBIN ANDERSON  , ..ROBIN.ANDERSON..@EXAMPLE.COM ,2021-12-16,48,1662.43,Retail
9598,Sam Rodriguez,sam.rodriguez@sample.org,2021-06-17,53,$940.72,Wholesale
9598,Sam Rodriguez,sam.rodriguez@sample.org,2021-06-17,53,$940.72,Wholesale
9599,  Jamie Miller  ,..JAMIE.MILLER..TEST.NET,2022-09-20,59,$932.96,ONLINE
9600,Parker Jones,parker.jones@sample.org,07/10/2023,690,1909.9,e-comm
9601,Jordan Martinez, jordan.martinez@test.net ,2020/09/29,72,$939.00,wholesale
9602,Taylor Williams,taylor williams@test net,05-14-2023,,1805.49, ONLINE 
9603,  Riley Anderson  , ..riley.anderson..@example.com ,2021-11-04,100,$956.47,retail
9604,casey davis,casey.davis@mail.com,08-12-2022,3295,"$1,424.52",Retail
9605,Parker Anderson,PARKER.ANDERSON@EXAMPLE.COM,2024-03-29,12,993.93,wholesale
9606,Sam Anderson,SAM.ANDERSON@TEST.NET,2020/02/04,66, 1710 ,ONLINE
9607,  Riley Williams  ,..riley.williams..@sample.org,2022/08/14,4617,744.36,e-comm
9608,ALEX BROWN,alex.brown@sample.org,2023/11/15,9,13.94,retail
9609,chris miller,chris.miller@sample.org,2020/07/18,41,"$1,221.45",retail
9610,Jordan Wilson,jordan.wilson@sample.org,06-18-2020,2203,$611.95, e-comm 
9611,  Drew Williams  ,..DREW.WILLIAMS..@MAIL.COM,02/04/2020,52,"$1,685.30",Wholesale
9612,TAYLOR ANDERSON, taylor.anderson@mail.com ,2020/07/07,1,177.94,Retail
9613,  DREW WILSON  ,  drew wilson  @mail com,24/11/2022,19, 1001 , retail 
9614,Morgan Williams,morgan.williams@example.com,2021-06-17,60,"$1,197.78",retail
9615,Drew Davis, drew.davis@sample.org ,,,1421.38, retail 
9616,TAYLOR BROWN,TAYLOR.BROWN@MAIL.COM,2022-05-31,null,708.05,retail
9617,  PARKER JONES  ,..parker.jones..@sample.org,2024-09-14,abc,$678.11, E-Commerce 
9618,  Sam Taylor  , ..sam.taylor..@example.com ,04/09/2020,94,713.06, Retail 
9619,AVERY ANDERSON,AVERY.ANDERSON@MAIL.COM,2024-02-03,,1700.28,Retail
9620,JAMIE WILSON,jamie.wilson@mail.com,2020-09-21,10, 240 ,wholesale
9621,Jordan Jones,jordan.jones@example.com,16/12/2024,2082, 115 ,E-Commerce
9622,Riley Anderson,riley.anderson@mail.com,2021/09/18,55,1405.67,E-Commerce
9623,alex miller,alex.miller@test.net,2022-03-21,100,156.39, e-comm 
9624,Alex Smith,ALEX.SMITH@MAIL.COM,07-28-2022,12,"$1,670.03",retail
9625,Alex Davis,alex.davis@test.net,,79,586.99,e-comm
9626,Morgan Anderson,morgan.anderson@sample.org,04-30-2022,14,1823.92,ONLINE
9627,  casey anderson  ,..casey.anderson..@example.com,2022-11-29,4050,563.55, ONLINE 
9628,morgan williams,morgan.williams@mail.com,12/03/2024,37,197.95,retail
9629,Drew Miller,DREW.MILLER@MAIL.COM,2020-08-29,9,"$1,544.12", Retail 
9630,SAM GARCIA,sam.garcia@example.com,2023-10-15,1429,$640.39,wholesale
9631,JAMIE ANDERSON,jamie.anderson@example.com,2020/06/03,96,"$1,338.51", Retail 
9632,Casey Anderson,casey.anderson@test.net,2021/07/06,38,"$1,493.91",E-Commerce
9633,  Sam Miller  , ..sam.miller..@test.net ,16/05/2024,31,"$1,552.91",Retail
9634,taylor martinez, taylor.martineztest.net ,09-25-2024,20,67.02,E-Commerce
9635,  sam johnson  ,..sam.johnson..@mail.com,2023/02/07,47,"$1,036.51",e-comm
9635,  sam johnson  ,..sam.johnson..@mail.com,2023/02/07,47,"$1,036.51",e-comm
9636,Parker Davis, parker.davis@mail.com ,08-21-2023,2,"$1,933.79",e-comm
9637,  Morgan Williams  ,..morgan.williams..@example.com,2021/09/13,1136,348.5,Wholesale
9637,  Morgan Williams  ,..morgan.williams..@example.com,2021/09/13,1136,348.5,Wholesale
9638,casey davis,CASEY.DAVIS@EXAMPLE.COM,2024/09/14,31, 359 ,Retail
9639,PARKER TAYLOR,parker.taylor@sample.org,02/01/2021,40,1483.03, e-comm 
9640,Riley Johnson,riley.johnson@test.net,2020-09-26,64,1398.67,Wholesale
9641,RILEY RODRIGUEZ,riley.rodriguez@example.com,2021-11-13,30,1397.91,Retail
9642,Taylor Garcia,taylor.garcia@example.com,2021-11-15,14,$703.38,retail
9643,Taylor Taylor,taylor.taylor@sample.org,2020-02-14,12,$183.71,retail
9644,Avery Anderson,avery.anderson@example.com,07-08-2023,7,$459.81,Wholesale
9645,RILEY GARCIA,riley.garcia@mail.com,2022/01/22,69,1982.4,wholesale
9646,LEE RODRIGUEZ,LEE RODRIGUEZ@TEST NET,16/03/2023,1776,"$1,369.38",retail
9647,  robin martinez  ,..ROBIN.MARTINEZ..@EXAMPLE.COM,11-22-2020,12,"$1,495.00",Retail
9648,  Alex Taylor  ,..alex.taylor..@example.com,2020/09/19,60,958.7,E-Commerce
9649,  casey wilson  ,..casey.wilson..@example.com,2022/09/23,null,$102.06,e-comm
9650,avery jones,avery.jones@sample.org,2020-08-23,81,138.19,retail
9651,,JAMIE.GARCIA@SAMPLE.ORG,2023-06-25,3551,1050.07,retail
9652,alex miller,alex.miller@example.com,2024/11/26,74, 242 ,E-Commerce
9653,Parker Davis,parker.davis@test.net,2021/05/22,27,1450.76,e-comm
9654,  Sam Taylor  ,..sam.taylor..@test.net,05/01/2024,86,$73.71,wholesale
9655,Casey Smith, casey.smith@sample.org ,2020-09-04,67,1144.48,ONLINE
9656,sam brown,sam.brown@example.com,2024/05/11,9,$831.86,wholesale
9657,  parker martinez  ,..parker.martinez..@sample.org,18/05/2020,55,$232.07,E-Commerce
9658,Sam Garcia, sam.garcia@example.com ,2024/04/12,2129,"$1,040.19",ONLINE
9659,Taylor Johnson,taylor johnson@example com,04-10-2024,37,1739.45, Retail 
9660,  JORDAN TAYLOR  ,..jordan.taylor..@example.com,2022-02-26,77,1840.08,wholesale
9661,Lee Davis, lee.davis@mail.com ,07-04-2024,59,650.01,retail
9662,drew jones,DREW.JONES@TEST.NET,2024/05/19,0,$282.26,retail
9663,  Jordan Wilson  ,..jordan.wilson..@sample.org,08-15-2021,47, 564 ,Retail
9664,Casey Martinez,casey.martinez@mail.com,2020/12/10,7,1671.23, E-Commerce 
9665,MORGAN JOHNSON,morgan.johnson@mail.com,2021-04-16,2,$97.20, ONLINE 
9666,drew martinez,drew.martinez@example.com,10-03-2020,2663,1174.45,e-comm
9667,Jamie Martinez,JAMIE.MARTINEZ@SAMPLE.ORG,2022-03-27,6,1931.44,Wholesale
9668,Chris Garcia,chris.garciasample.org,01/07/2020,35,83.86,Wholesale
9669,Avery Garcia,avery garcia@sample org,28/06/2021,NA,$510.64,E-Commerce
